test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
871	2025.05.14 22:18	22.1	404	ms	3121	555	Gemma 3 1b It	BF16	1300	M	NVIDIA GeForce RTX 3060 Laptop GPU	GPU	6	GB	11th Gen Intel Core i7-11800H @ 2.30GHz (tigerlake)	15.8	GB	Windows
872	2025.05.14 22:49	21	460	ms	2679	497	Gemma 3 1b It	BF16	1300	M	NVIDIA GeForce RTX 3060 Laptop GPU	GPU	6	GB	11th Gen Intel Core i7-11800H @ 2.30GHz (tigerlake)	15.8	GB	Windows
249	2025.04.04 22:59	21.3	2700	ms	515	160	Llama 3.2 1B Instruct	BF16	1500	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
274	2025.04.05 11:53	19.7	3820	ms	362	123	Llama 3.2 1B Instruct	BF16	1500	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
255	2025.04.05 00:02	8.3	6500	ms	204	64	Llama 3.2 3B Instruct	BF16	3600	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
281	2025.04.05 12:51	7.6	10210	ms	132	46	Llama 3.2 3B Instruct	BF16	3600	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
264	2025.04.05 02:02	3.7	15240	ms	85	27	Meta Llama 3.1 8B Instruct	BF16	8000	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
302	2025.04.05 21:09	3.3	17730	ms	73	24	Meta Llama 3.1 8B Instruct	BF16	8000	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
277	2025.04.05 12:10	2.4	23430	ms	55	18	Mistral Nemo Instruct 2407	BF16	12200	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
292	2025.04.05 14:51	3.3	24190	ms	54	19	Meta Llama 3.1 8B Instruct	BF16	8000	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
