test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
714	2025.04.14 07:06	41.3	208	ms	6298	1077	Phi3	F16	3800	M	NVIDIA GeForce RTX 4090	GPU	24	GB	AMD Ryzen 9 7900 12-Core Processor (znver4)	61.9	GB	Linux
389	2025.04.06 15:45	50.2	336	ms	3754	825	AReaL Boba RL 7B	F16	7600	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
319	2025.04.06 00:13	55.5	414	ms	3235	757	Llama 3.2 1B Instruct	F16	1500	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
326	2025.04.06 00:32	29.1	911	ms	1475	361	Llama 3.2 3B Instruct	F16	3600	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
845	2025.05.09 03:16	27.4	911	ms	1297	339	Granite 3.1 1b A400M Instruct	F16	1400	M	AMD Radeon RX 5700 XT	GPU	8	GB	AMD Ryzen 5 3600X 6-Core Processor (znver2)	31.9	GB	Windows
437	2025.04.06 22:00	17.7	1050	ms	1243	276	Meta Llama 3.1 8B Instruct	F16	8000	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
275	2025.04.05 12:02	19.6	3610	ms	386	128	Llama 3.2 1B Instruct	F16	1500	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
240	2025.04.04 20:55	20.2	3930	ms	340	121	AMD OLMo 1B	F16	1300	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
251	2025.04.04 23:17	21	4010	ms	341	121	Llama 3.2 1B Instruct	F16	1500	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
283	2025.04.05 13:13	7.5	9490	ms	142	48	Llama 3.2 3B Instruct	F16	3600	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
257	2025.04.05 00:23	8.2	10300	ms	126	46	Llama 3.2 3B Instruct	F16	3600	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
1175	2025.07.02 20:49	2	11200	ms	121	28	Phi3	F16	3800	M	AMD Radeon Graphics	GPU	15	GB	AMD Ryzen 5 7640U w/ Radeon 760M Graphics (znver4)	30.7	GB	Linux
294	2025.04.05 15:42	3.3	21970	ms	59	21	Meta Llama 3.1 8B Instruct	F16	8000	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
266	2025.04.05 02:47	3.7	23510	ms	55	21	Meta Llama 3.1 8B Instruct	F16	8000	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
1159	2025.06.30 13:55	2.9	23890	ms	56	19	Phi3	F16	3800	M	AMD Ryzen 5 7640U w/ Radeon 760M Graphics (znver4)	CPU	30.7	GB	AMD Ryzen 5 7640U w/ Radeon 760M Graphics (znver4)	30.7	GB	Linux
705	2025.04.13 06:57	2.7	26370	ms	48	17	Qwen2.5 Coder 7B Instruct GGUF	F16	7600	M	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	CPU	125.8	GB	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	125.8	GB	Linux
284	2025.04.05 13:19	2.4	36500	ms	35	13	Mistral Nemo Instruct 2407	F16	12200	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
