test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
323	2025.04.06 00:21	110	281	ms	5591	1299	Llama 3.2 1B Instruct	Q5_K - Medium	1500	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
330	2025.04.06 00:43	53.6	665	ms	2339	573	Llama 3.2 3B Instruct	Q5_K - Medium	3600	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
335	2025.04.06 01:17	34.9	1270	ms	1157	317	Meta Llama 3.1 8B Instruct	Q5_K - Medium	8000	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
342	2025.04.06 01:53	25.3	1870	ms	717	213	Mistral Nemo Instruct 2407	Q5_K - Medium	12200	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
279	2025.04.05 12:14	46.2	2240	ms	668	240	Llama 3.2 1B Instruct	Q5_K - Medium	1500	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
254	2025.04.04 23:34	46.6	3170	ms	465	190	Llama 3.2 1B Instruct	Q5_K - Medium	1500	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
740	2025.04.19 14:12	6.5	3290	ms	385	91	Gemma 3 12b It	Q5_K - Medium	12800	M	AMD Radeon RX 7800 XT	GPU	16	GB	AMD Ryzen 9 9950X3D 16-Core Processor	62.4	GB	Linux
288	2025.04.05 13:45	18.5	5470	ms	263	96	Llama 3.2 3B Instruct	Q5_K - Medium	3600	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
261	2025.04.05 00:55	19.7	7710	ms	180	77	Llama 3.2 3B Instruct	Q5_K - Medium	3600	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
745	2025.04.20 02:08	8.0	8360	ms	157	53	Gemma 3 12b It	Q5_K - Medium	12800	M	AMD Ryzen 9 9950X3D 16-Core Processor	CPU	62.4	GB	AMD Ryzen 9 9950X3D 16-Core Processor	62.4	GB	Linux
743	2025.04.20 01:37	7.9	9880	ms	134	48	Gemma 3 12b It	Q5_K - Medium	12800	M	AMD Ryzen 9 9950X3D 16-Core Processor	CPU	62.4	GB	AMD Ryzen 9 9950X3D 16-Core Processor	62.4	GB	Linux
246	2025.04.04 21:55	32.2	10020	ms	137	76	Gemma-3-1B-It	Q5_K - Medium	1300	M	11th Gen Intel Core i7-1185G7 @ 3.00GHz (tigerlake)	CPU	15.7	GB	11th Gen Intel Core i7-1185G7 @ 3.00GHz (tigerlake)	15.7	GB	Windows
729	2025.04.16 16:49	12.6	10740	ms	140	55	hub	Q5_K - Medium	7200	M	AMD Ryzen 9 9950X 16-Core Processor	CPU	61.6	GB	AMD Ryzen 9 9950X 16-Core Processor	61.6	GB	Windows
