test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
384	2025.04.06 15:28	300	67	ms	19958	4470	Qwen2.5 0.5B Instruct	Q6_K	630	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
185	2025.04.02 17:27	300	100	ms	13357	3428	Llama 3.2 1B Instruct	Q6_K	1500	M	NVIDIA GeForce RTX 3090	GPU	24	GB	AMD EPYC 7352 24-Core Processor (znver2)	125.6	GB	Linux
386	2025.04.06 15:35	207	111	ms	11291	2764	Qwen2.5 1.5B Instruct	Q6_K	1800	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
390	2025.04.06 15:47	204	111	ms	11246	2740	Qwen2.5 1.5B Instruct	Q6_K	1800	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
388	2025.04.06 15:40	205	112	ms	11146	2734	Qwen2.5 1.5B Instruct	Q6_K	1800	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
154	2025.03.28 22:54	273	117	ms	11451	2992	Llama 3.2 1B Instruct	Q6_K	1500	M	NVIDIA RTX A5000	GPU	24	GB	AMD EPYC 7302 16-Core Processor (znver2)	251.6	GB	Linux
387	2025.04.06 15:38	132	287	ms	4481	1272	Phi 3 Mini 128k Instruct	Q6_K	3800	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
385	2025.04.06 15:31	131	288	ms	4403	1260	Phi 3.5 Mini Instruct	Q6_K	3800	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
322	2025.04.06 00:20	109	298	ms	5147	1234	Llama 3.2 1B Instruct	Q6_K	1500	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
383	2025.04.06 15:27	73.7	465	ms	2744	758	Granite 3.2 8b Instruct	Q6_K	8400	M	NVIDIA GeForce RTX 3090	GPU	24	GB	13th Gen Intel Core i7-13700T (alderlake)	125.5	GB	Linux
