test_num	test_date	gen_tps	ttft	ttft_unit	prompt_tps	localscore	model_name	model_quant	model_params	model_params_unit	accel_name	accel_type	accel_ram	accel_ram_unit	system_cpu	system_ram	system_ram_unit	system_os
774	2025.04.26 04:10	6844	68	ms	39766	15852	Raincandy U TinyStories 656K	Q8_0	1	M	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	CPU	23.3	GB	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	23.3	GB	Linux
773	2025.04.26 04:10	6773	70	ms	38010	15414	Raincandy U TinyStories 656K	Q8_0	1	M	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	CPU	23.3	GB	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	23.3	GB	Linux
772	2025.04.26 04:10	6498	71	ms	38404	15172	Raincandy U TinyStories 656K	Q8_0	1	M	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	CPU	23.3	GB	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	23.3	GB	Linux
771	2025.04.26 04:09	6566	74	ms	37551	14924	Raincandy U TinyStories 656K	Q8_0	1	M	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	CPU	23.3	GB	Intel Core i7-10750H CPU @ 2.60GHz (skylake)	23.3	GB	Linux
400	2025.04.06 17:42	68.1	115	ms	11064	1873	Model Hf	Q8_0	4600	M	NVIDIA GeForce RTX 4090	GPU	24	GB	AMD Ryzen 5 5600X 6-Core Processor (znver3)	63.9	GB	Windows
321	2025.04.06 00:17	103	259	ms	6338	1359	Llama 3.2 1B Instruct	Q8_0	1500	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
327	2025.04.06 00:36	49.1	603	ms	2680	602	Llama 3.2 3B Instruct	Q8_0	3600	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
925	2025.05.22 06:07	20.5	689	ms	1788	376	Gemma-3-4B-It-Qat	Q8_0	4600	M	Radeon RX 7900 XTX	GPU	24	GB	AMD Ryzen 7 7800X3D 8-Core Processor (znver4)	61.9	GB	Linux
748	2025.04.20 09:32	21.9	770	ms	1787	371	gemma2	Q8_0	10200	M	NVIDIA GeForce RTX 4060 Ti	GPU	16	GB	AMD Ryzen 5 3600 6-Core Processor (znver2)	31.9	GB	Windows
427	2025.04.06 21:23	38.3	874	ms	1600	413	Meta Llama 3.1 8B Instruct	Q8_0	8000	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
333	2025.04.06 01:05	29.5	1110	ms	1389	333	Meta Llama 3.1 8B Instruct	Q8_0	8000	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
339	2025.04.06 01:37	20.7	1670	ms	832	218	Mistral Nemo Instruct 2407	Q8_0	12200	M	AMD Radeon RX 6900 XT	GPU	16	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
276	2025.04.05 12:07	35.1	3160	ms	462	172	Llama 3.2 1B Instruct	Q8_0	1500	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
252	2025.04.04 23:26	36.8	4280	ms	336	142	Llama 3.2 1B Instruct	Q8_0	1500	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
189	2025.04.03 18:54	30.5	5930	ms	221	104	Gemma 3 1b It	Q8_0	1300	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
706	2025.04.13 07:41	20.5	5950	ms	233	93	qwen2.5-1.5b-instruct	Q8_0	1800	M	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	CPU	125.8	GB	Intel Xeon CPU E5-2667 v4 @ 3.20GHz (broadwell)	125.8	GB	Linux
285	2025.04.05 13:26	13.5	8210	ms	173	66	Llama 3.2 3B Instruct	Q8_0	3600	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
785	2025.04.29 19:40	14.1	11460	ms	119	53	qwen2.5-14b-instruct	Q8_0	14800	M	AMD EPYC 9454P 48-Core Processor (znver4)	CPU	251.4	GB	AMD EPYC 9454P 48-Core Processor (znver4)	251.4	GB	Linux
258	2025.04.05 00:36	14.1	11520	ms	117	52	Llama 3.2 3B Instruct	Q8_0	3600	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
674	2025.04.10 18:43	2.2	12350	ms	137	29	Qwen2.5 Coder 14B Instruct AWQ	Q8_0	14800	M	NVIDIA GeForce RTX 2080 Ti	GPU	11	GB	AMD Ryzen 5 5600X 6-Core Processor (znver3)	95.9	GB	Windows
248	2025.04.04 22:30	27.5	16640	ms	79	51	Gemma-3-1B-It	Q8_0	1300	M	11th Gen Intel Core i7-1185G7 @ 3.00GHz (tigerlake)	CPU	15.7	GB	11th Gen Intel Core i7-1185G7 @ 3.00GHz (tigerlake)	15.7	GB	Windows
296	2025.04.05 16:10	6.1	18910	ms	74	29	Meta Llama 3.1 8B Instruct	Q8_0	8000	M	AMD Ryzen 9 5950X 16-Core Processor (znver3)	CPU	125.7	GB	AMD Ryzen 9 5950X 16-Core Processor (znver3)	125.7	GB	Linux
259	2025.04.05 00:40	12.2	21420	ms	64	33	Qwen2.5 Coder 3B Instruct	Q8_0	3400	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
200	2025.04.03 20:31	12.1	21770	ms	62	33	Qwen2.5 3B Instruct	Q8_0	3400	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
218	2025.04.04 00:21	11.3	21830	ms	63	32	Llama 3.2 3B Instruct	Q8_0	3600	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
884	2025.05.16 10:17	11.3	22540	ms	60	31	Qwen3 0.6B	Q8_0	752	M	HUAWEI Kirin 990	CPU	7.6	GB	HUAWEI Kirin 990	7.6	GB	Linux
191	2025.04.03 19:13	12.7	24320	ms	55	31	Gemma 3 4b It	Q8_0	4600	M	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	CPU	251.8	GB	Intel Xeon CPU E5-2697 v2 @ 2.70GHz (ivybridge)	251.8	GB	Linux
1149	2025.06.28 22:26	16.8	25270	ms	56	33	Qwen2.5 Coder 0.5B Instruct AWQ	Q8_0	630	M	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	CPU	15.2	GB	Intel Xeon Platinum 8259CL CPU @ 2.50GHz (skylake-avx512)	15.2	GB	Linux
268	2025.04.05 03:14	6.7	25670	ms	52	24	Meta Llama 3.1 8B Instruct	Q8_0	8000	M	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	CPU	54.7	GB	AMD Ryzen 9 7940HS w/ Radeon 780M Graphics (znver4)	54.7	GB	Linux
918	2025.05.19 10:15	7.7	25680	ms	50	25	Llama 3.2 1B Instruct	Q8_0	1500	M	HUAWEI Kirin 990	CPU	7.6	GB	HUAWEI Kirin 990	7.6	GB	Linux
